2026-06-08 19:27:22,993 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1780927042993, 'signature': 'b59cc9bfe41f6eea7654427e00805f183689e36f90fe1d9525f701125c58ac8e'}
2026-06-08 19:27:23,244 | INFO | API Response: status=400 body={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}
2026-06-08 19:27:23,245 | ERROR | Order failed: Binance API Error: {'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}
2026-06-08 19:29:47,519 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1780927187518, 'signature': '880652d45f2900a91611e25d3fd0cecf69be46a058178b936704e8b3e704c6e0'}
2026-06-08 19:29:48,169 | INFO | API Response: status=400 body={'code': -2019, 'msg': 'Margin is insufficient.'}
2026-06-08 19:29:48,169 | ERROR | Order failed: Binance API Error: {'code': -2019, 'msg': 'Margin is insufficient.'}
2026-06-08 19:31:39,828 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.0001, 'timestamp': 1780927299828, 'signature': '77c84bc407a8c3f465801b15a443c8b7b8b155fe2a52fd660cf6119eb0707156'}
2026-06-08 19:31:40,106 | INFO | API Response: status=400 body={'code': -4164, 'msg': "Order's notional must be no smaller than 50 (unless you choose reduce only)."}
2026-06-08 19:31:40,107 | ERROR | Order failed: Binance API Error: {'code': -4164, 'msg': "Order's notional must be no smaller than 50 (unless you choose reduce only)."}
2026-06-08 19:32:13,842 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1780927333842, 'signature': 'd8990b9c162572c178bdb5e9c646b8853a6a602fa03736371995bdc45f02cb32'}
2026-06-08 19:32:14,361 | INFO | API Response: status=400 body={'code': -2019, 'msg': 'Margin is insufficient.'}
2026-06-08 19:32:14,361 | ERROR | Order failed: Binance API Error: {'code': -2019, 'msg': 'Margin is insufficient.'}
2026-06-08 19:34:33,697 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1780927473697, 'signature': '6afa4c1fa89ec88a86e653e5980cfc60e68d178e1d073f1ec046a9616498d1b8'}
2026-06-08 19:34:34,053 | INFO | API Response: status=200 body={'orderId': 14502646941, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'tOTgqs5UnkkGqow53HqWSd', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780927474102}
2026-06-08 19:35:14,764 | INFO | API Request: POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 70000.0, 'timeInForce': 'GTC', 'timestamp': 1780927514764, 'signature': '09b39c92571b90df19b23d882cc41cfb8e7fafc1f5cb54bfc3d49ef4c11bf42b'}
2026-06-08 19:35:15,005 | INFO | API Response: status=200 body={'orderId': 14502680881, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'oft2R2LesT9p1BF3itPaWo', 'price': '70000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780927515051}
